null,null,지수명,현재가,null,전일비,등락률(%),시가지수,고가지수,저가지수,전체종목수,거래종목수,상승,상한,하락,하한,보합,거래량(천주),거래대금(백만원),상장시가총액(원)
1,001,(유) 코스피 (외국주포함),"-",,"-","-","-","-","-","917","908","352","3","493","0","63","1,015,484","16,275,329","1,906,419,279,762,760"
Z,001,(유) 코스피,"2,770.43",2,"1.36","-0.05","2,769.89","2,772.71","2,742.25","916","907","351","3","493","0","63","1,014,904","16,273,166","1,906,104,237,782,845"
1,002,(유) 코스피 대형주,"2,737.12",2,"4.74","-0.17","2,739.14","2,741.07","2,708.97","100","100","37","0","60","0","3","133,109","7,437,816","1,507,275,286,986,955"
1,003,(유) 코스피 중형주,"2,944.51",1,"21.66","0.74","2,927.45","2,944.51","2,907.31","199","199","67","1","121","0","11","231,346","4,869,086","213,147,252,342,794"
1,004,(유) 코스피 소형주,"2,207.71",1,"2.75","0.12","2,206.35","2,211.70","2,197.36","483","474","190","2","245","0","39","605,846","2,359,525","83,448,941,941,036"
1,005,(유) 음식료품,"3,945.65",1,"6.29","0.16","3,940.07","3,946.54","3,905.86","47","47","14","0","29","0","4","64,930","184,937","27,406,409,298,218"
1,006,(유) 섬유의복,"255.27",2,"0.91","-0.36","256.29","256.37","253.53","26","26","8","0","13","0","5","17,756","48,631","5,345,728,124,983"
1,007,(유) 종이목재,"421.66",1,"3.77","0.90","419.89","431.07","419.89","21","20","11","0","7","0","2","105,665","438,510","3,631,008,881,390"
1,008,(유) 화학,"6,482.31",1,"10.54","0.16","6,480.91","6,489.53","6,404.82","121","121","51","1","63","0","7","64,628","1,920,115","210,214,401,778,455"
1,009,(유) 의약품,"20,580.53",1,"36.63","0.18","20,561.52","20,611.08","20,398.31","51","51","20","1","29","0","2","45,478","2,731,006","148,137,679,111,000"
1,010,(유) 비금속광물,"2,097.18",1,"1.06","0.05","2,101.05","2,116.91","2,075.01","28","27","11","0","13","0","3","12,315","127,398","16,079,276,551,585"
1,011,(유) 철강금속,"4,079.87",2,"28.01","-0.68","4,109.00","4,109.00","4,022.29","51","51","14","0","34","0","3","20,642","287,832","45,999,379,058,550"
1,012,(유) 기계,"979.57",1,"13.75","1.42","965.95","980.64","956.78","43","43","15","0","26","0","2","39,829","370,899","28,758,364,816,915"
1,013,(유) 전기전자,"27,272.28",2,"44.19","-0.16","27,231.95","27,345.89","26,954.52","71","70","37","0","28","0","5","134,950","3,890,010","686,129,066,647,353"
1,014,(유) 의료정밀,"2,697.30",1,"21.37","0.80","2,674.97","2,728.84","2,666.28","6","6","4","0","1","0","1","1,254","19,781","1,699,861,147,195"
